                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80759,                0.88292,                 1.1198,                0.91215,                0.34146,                0.43183,                0.33504,                 1.2226,                 1.4453,                  1.382,              0.0013268,              0.0013268,              0.0013268
                     36,                0.76713,                0.86692,                 1.0899,                0.91376,                0.31707,                0.39013,                0.33246,                  1.084,                 1.4583,                 1.2787,               0.001307,               0.001307,               0.001307
                     37,                0.81331,                0.86292,                 1.1053,                0.60095,                0.33084,                0.40772,                0.30268,                  1.132,                  1.362,                 1.2925,              0.0012872,              0.0012872,              0.0012872
                     38,                0.76828,                0.86008,                 1.0943,                0.69222,                0.34146,                0.43567,                0.33181,                 1.1528,                  1.386,                 1.3265,              0.0012674,              0.0012674,              0.0012674
                     39,                0.74407,                0.84761,                 1.0789,                0.60587,                0.37516,                0.45346,                0.33564,                 1.1622,                 1.2246,                 1.2941,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.7692,                0.83215,                 1.0934,                0.81639,                0.31707,                0.44203,                0.33799,                 1.1206,                 1.2238,                 1.2608,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.7473,                0.82573,                 1.0732,                0.91631,                0.36585,                0.50888,                0.35432,                 1.2086,                 1.1308,                 1.3793,               0.001208,               0.001208,               0.001208
                     42,                0.75868,                0.81733,                  1.073,                 0.6212,                0.34146,                0.42564,                0.30585,                 1.3423,                    1.5,                 1.3684,              0.0011882,              0.0011882,              0.0011882
                     43,                0.76682,                0.82537,                 1.0764,                0.61679,                0.34146,                0.39876,                0.31264,                 1.1862,                 1.3267,                 1.3381,              0.0011684,              0.0011684,              0.0011684
                     44,                0.72061,                0.79488,                  1.074,                0.50835,                0.36585,                0.35198,                0.28209,                 1.1993,                 1.7438,                 1.3944,              0.0011486,              0.0011486,              0.0011486
                     45,                0.72596,                0.79729,                 1.0587,                0.47385,                0.39024,                0.40877,                0.29422,                  1.177,                 1.3357,                 1.3961,              0.0011288,              0.0011288,              0.0011288
                     46,                0.75673,                0.82742,                 1.0872,                0.77511,                0.36585,                0.40481,                0.32982,                 1.0968,                 1.5415,                 1.2566,               0.001109,               0.001109,               0.001109
                     47,                0.74301,                0.76893,                 1.0702,                0.47546,                0.39024,                0.36624,                0.29707,                 1.0992,                 1.4789,                 1.2101,              0.0010892,              0.0010892,              0.0010892
                     48,                0.74996,                0.78543,                 1.0855,                0.62508,                0.36585,                0.44317,                0.33008,                0.99087,                 1.3517,                 1.2391,              0.0010694,              0.0010694,              0.0010694
                     49,                0.69961,                0.77162,                 1.0584,                0.53301,                0.34146,                0.38836,                0.30497,                 1.1078,                 1.5772,                 1.3222,              0.0010496,              0.0010496,              0.0010496
                     50,                0.75308,                0.83654,                 1.0865,                 0.4676,                0.31707,                 0.3695,                0.27292,                 1.1495,                 1.4999,                 1.3643,              0.0010298,              0.0010298,              0.0010298
                     51,                0.67838,                0.75361,                 1.0536,                0.68007,                0.39024,                0.42557,                0.31997,                 1.1584,                  1.466,                 1.3482,                0.00101,                0.00101,                0.00101
                     52,                0.73867,                 0.7857,                 1.0589,                0.66182,                0.31707,                 0.3705,                0.29592,                 1.1825,                 1.5629,                 1.3775,              0.0009902,              0.0009902,              0.0009902
                     53,                0.69407,                0.75512,                 1.0618,                0.65009,                0.39024,                0.42812,                0.30268,                 1.0667,                 1.3705,                 1.2729,              0.0009704,              0.0009704,              0.0009704
                     54,                0.70367,                0.77603,                 1.0644,                0.43489,                0.31707,                0.34281,                0.27455,                 1.1612,                 1.4576,                 1.3237,              0.0009506,              0.0009506,              0.0009506
                     55,                0.75839,                0.81083,                 1.0651,                0.46289,                0.42052,                0.46374,                 0.3406,                 1.1956,                 1.2256,                 1.3787,              0.0009308,              0.0009308,              0.0009308
                     56,                0.70792,                0.78398,                  1.053,                0.61102,                0.42161,                0.44874,                  0.335,                  1.151,                 1.3219,                 1.3215,               0.000911,               0.000911,               0.000911
                     57,                 0.7222,                0.77499,                 1.0546,                0.55697,                0.34146,                0.41902,                0.31736,                 1.2067,                 1.3893,                 1.3479,              0.0008912,              0.0008912,              0.0008912
                     58,                0.74389,                0.78253,                 1.0626,                0.58467,                0.39024,                0.39481,                0.27121,                 1.1976,                 1.5302,                 1.4134,              0.0008714,              0.0008714,              0.0008714
