                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1715,                 1.1953,                 1.2191,                0.22976,                0.09756,                0.08852,                0.06475,                 2.1323,                 4.1781,                 2.0577,             0.00047953,             0.00047953,             0.00047953
                     36,                 1.1615,                 1.1698,                 1.2207,                0.37613,                0.07317,                0.08242,                0.06184,                 2.2849,                 4.2205,                 2.1064,             0.00042809,             0.00042809,             0.00042809
                     37,                 1.1591,                 1.1784,                 1.2126,                 0.1998,                0.09756,                0.10486,                0.06341,                 2.1701,                 3.9265,                 2.0454,             0.00037895,             0.00037895,             0.00037895
                     38,                 1.1361,                 1.1624,                 1.2039,                0.33035,                0.07317,                0.07212,                0.02952,                 2.2678,                 4.1239,                 2.1332,              0.0003323,              0.0003323,              0.0003323
                     39,                  1.152,                 1.2014,                 1.2094,                0.43258,                0.07317,                0.08147,                0.04247,                 2.3366,                 4.4153,                  2.165,             0.00028832,             0.00028832,             0.00028832
                     40,                 1.0837,                 1.1343,                  1.179,                0.43251,                0.07317,                0.08326,                0.04811,                 2.3029,                 4.6063,                 2.0852,             0.00024719,             0.00024719,             0.00024719
                     41,                 1.2056,                 1.4096,                   1.24,                0.32188,                0.07317,                0.08701,                0.06435,                 2.1639,                 4.0173,                 2.0845,             0.00020907,             0.00020907,             0.00020907
                     42,                 1.1498,                 1.1845,                 1.2096,                0.36336,                0.07317,                0.10467,                0.08065,                 2.1147,                 3.7607,                 2.0603,             0.00017412,             0.00017412,             0.00017412
                     43,                 1.1523,                 1.2052,                 1.2034,                0.28885,                0.07317,                 0.0868,                0.05609,                 2.3433,                 4.0225,                 2.2253,             0.00014246,             0.00014246,             0.00014246
                     44,                 1.1333,                 1.1786,                 1.1945,                0.27687,                0.07317,                0.07477,                0.04305,                 2.4975,                 4.2943,                 2.2954,             0.00011422,             0.00011422,             0.00011422
                     45,                 1.1008,                 1.1789,                 1.1824,                 0.2761,                0.07317,                0.07346,                0.04216,                 2.5119,                 4.2457,                 2.3284,             8.9521e-05,             8.9521e-05,             8.9521e-05
                     46,                 1.0903,                 1.1239,                 1.1675,                0.28458,                0.07317,                 0.0762,                0.04552,                 2.3897,                 4.1418,                 2.2736,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     47,                 1.1219,                 1.1519,                 1.1848,                   0.27,                0.07317,                0.07547,                0.04787,                 2.4028,                 4.1749,                 2.2932,             5.1103e-05,             5.1103e-05,             5.1103e-05
                     48,                 1.0837,                 1.1122,                 1.1687,                0.26731,                0.07317,                0.07477,                0.04737,                 2.3952,                 4.2111,                 2.3048,             3.7536e-05,             3.7536e-05,             3.7536e-05
                     49,                 1.0842,                 1.1085,                 1.1732,                0.26741,                0.07317,                0.07845,                0.04802,                 2.4871,                 4.3124,                 2.3265,             2.7806e-05,             2.7806e-05,             2.7806e-05
                     50,                 1.0778,                 1.1184,                 1.1661,                  0.268,                0.07317,                0.07796,                 0.0474,                 2.4836,                 4.3373,                  2.332,             2.1954e-05,             2.1954e-05,             2.1954e-05
                      1,                 1.7339,                 2.7577,                 1.6662,                      0,                      0,                      0,                      0,                 1.5394,                 3.2241,                 1.5402,                0.00044,                0.00044,                0.00044
                      2,                 1.5723,                 2.1798,                 1.5224,                      0,                      0,                      0,                      0,                 2.9671,                  3.667,                 2.4057,             0.00089978,             0.00089978,             0.00089978
                      3,                 1.6066,                 2.0997,                 1.4868,                0.61953,                0.04878,                 0.0916,                0.01312,                 2.8556,                 3.8412,                  2.873,              0.0013587,              0.0013587,              0.0013587
                      4,                 1.6828,                 2.1231,                 1.5442,                 0.3276,                0.09756,                0.07883,                0.03055,                 2.9062,                 5.1136,                 3.9794,               0.001816,               0.001816,               0.001816
                      5,                 1.6629,                 2.0288,                 1.5365,                0.14798,                0.12195,                0.06819,                 0.0235,                 3.0204,                 6.1028,                 3.2595,              0.0019922,              0.0019922,              0.0019922
                      6,                 1.6218,                 1.8917,                 1.5351,                0.16999,                0.12195,                 0.0499,                0.01511,                 2.7395,                 9.7417,                 3.1186,              0.0019878,              0.0019878,              0.0019878
                      7,                 1.6396,                 1.8835,                 1.5075,                0.08997,                0.12195,                0.05246,                0.01141,                 2.8143,                 6.9927,                  2.834,              0.0019825,              0.0019825,              0.0019825
                      8,                 1.5778,                 1.8874,                 1.5005,                0.00965,                0.02439,                0.00333,                0.00133,                 3.2125,                 7.5817,                  3.086,              0.0019762,              0.0019762,              0.0019762
